Entity,Types,Author,URL,Publish date
Green Tea - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/green-tea,2020-10-01
Guarana - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/935.html,2022-05-13
Gymnema - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/841.html,2021-09-15
Hallmarks of aging - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/hallmarks-of-aging,2022-08-10
Hawthorn - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/hawthorn,2020-08-01
Headaches - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/headaches-what-you-need-to-know,2021-08-01
Hepatitis C - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/hepatitis-c-and-dietary-supplements,2018-05-01
Hibiscus sabdariffa - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/211.html,2022-08-29
Homeopathy - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/homeopathy,2021-05-01
Honey - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-honey/art-20363819,2020-11-14
Honey - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/738.html,2022-08-11
Hoodia - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/hoodia,2020-08-01
Hops - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/856.html,2022-07-29
Horny Goat Weed - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/699.html,2021-08-26
Horse Chestnut - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/horse-chestnut,2020-10-01
Horsetail - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/843.html,2022-08-16
Hypertension - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/hypertension-high-blood-pressure,2018-07-01
Hypnosis - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/hypnosis,2020-01-01
Intestinal permeability - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/intestinal-permeability,2022-08-10
Iodine - Health Professional Fact Sheet ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,2022-04-28
Iron - Health Professional Fact Sheet ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,2022-04-05
Irritable Bowel Syndrome - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/irritable-bowel-syndrome-in-depth,2015-03-01
Kava - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/kava,2020-08-01
Kratom - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/kratom,2022-04-01
L-arginine - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-l-arginine/art-20364681,2021-02-04
L-Arginine - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/875.html,2021-10-13
L-Tryptophan - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/326.html,2022-03-31
Lactobacillus acidophilus - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/790.html,2022-06-23
Lactobacillus reuteri - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/lactobacillus-reuteri,2022-08-10
Lavender - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/lavender,2020-08-01
Licorice Root - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/licorice-root,2020-08-01
Lipase - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/203.html,2022-02-17
Low-Back Pain - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/low-back-pain-and-complementary-health-approaches-what-you-need-to-know,2020-01-01
Lutein - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/754.html,2022-07-08
Lycopene - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/554.html,2021-09-08
Lyme Disease - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/lyme-disease,2019-03-01
Maca - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/555.html,2022-07-11
Magnesium - Health Professional Fact Sheet ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/,2022-06-02
Magnets - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/magnets,2013-02-01
Manganese - Health Professional Fact Sheet ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,2022-06-02
Mangosteen: MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1081.html,2021-12-17
Marijuana - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-marijuana/art-20364974,2020-11-18
Maritime Pine - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1019.html,2022-08-29
Massage Therapy - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,2019-05-01
Meditation and Mindfulness - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/meditation-and-mindfulness-what-you-need-to-know,2022-06-01
Melatonin - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-melatonin/art-20363071,2021-03-03
Melatonin - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/940.html,2022-06-09
Melatonin - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/melatonin-what-you-need-to-know,2022-07-01
Men’s Health - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/mens-health,2019-06-01
Menopausal Symptoms - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/menopausal-symptoms-in-depth,2017-05-01
Mental Health - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/mental-health,2020-01-01
Metformin - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/metformin,2022-08-10
Methylsulfonylmethane (MSM) - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/522.html,2022-03-31
Milk thistle - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-milk-thistle/art-20362885,2020-11-19
Milk Thistle - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/milk-thistle,2020-08-01
Mind and Body Practices - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/mind-and-body-practices,2017-09-01
Mugwort - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/mugwort,2021-01-01
Multiple Sclerosis - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/multiple-sclerosis,2019-11-01
Music - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/music-and-health-what-you-need-to-know,2022-09-01
N-Acetyl Cysteine (NAC) - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1018.html,2022-06-28
NAD - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/nad,2022-08-10
Naturopathy - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/naturopathy,2017-09-01
Neu5Gc - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/neu5gc,2022-08-10
Niacin - Health Professional Fact Sheet ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/,2022-08-23
Niacin - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-niacin/art-20364984,2020-11-12
